STATISTIC,Statistic Label,TLIST(M1),Month,C02596V03150,Industry Sector NACE Rev 2,UNIT,VALUE
WPM40C01,Domestic Industrial Price Index (Excl VAT),202108,2021 August,25,"Fabricated metal products, except machinery and equipment (25)",Base 2021=100,101.6073817
WPM40C01,Domestic Industrial Price Index (Excl VAT),202108,2021 August,27,Electrical equipment (27),Base 2021=100,101.2421972
WPM40C01,Domestic Industrial Price Index (Excl VAT),202108,2021 August,29,"Motor vehicles, trailers and semi-trailers (29)",Base 2021=100,99.6323566
WPM40C01,Domestic Industrial Price Index (Excl VAT),202108,2021 August,31,Furniture (31),Base 2021=100,101.0679648
WPM40C01,Domestic Industrial Price Index (Excl VAT),202108,2021 August,V0800,Mining and quarrying (05 to 09),Base 2021=100,99.85866344
WPM40C01,Domestic Industrial Price Index (Excl VAT),202109,2021 September,10,Food products (10),Base 2021=100,100.4703806
WPM40C01,Domestic Industrial Price Index (Excl VAT),202109,2021 September,13,Textiles (13),Base 2021=100,101.4960168
WPM40C01,Domestic Industrial Price Index (Excl VAT),202109,2021 September,14,Wearing apparel (14),Base 2021=100,100.1616687
WPM40C01,Domestic Industrial Price Index (Excl VAT),202109,2021 September,16,"Wood and wood products, except furniture (16)",Base 2021=100,103.5032192
WPM40C01,Domestic Industrial Price Index (Excl VAT),202109,2021 September,17,Paper and paper products (17),Base 2021=100,100.5921061
WPM40C01,Domestic Industrial Price Index (Excl VAT),202109,2021 September,20,Chemicals and chemical products (20),Base 2021=100,99.78683924
WPM40C01,Domestic Industrial Price Index (Excl VAT),202109,2021 September,22,Rubber and plastic products (22),Base 2021=100,100.7468316
WPM40C01,Domestic Industrial Price Index (Excl VAT),202109,2021 September,23,Other non-metallic mineral products (23),Base 2021=100,100.5748457
WPM40C01,Domestic Industrial Price Index (Excl VAT),202109,2021 September,24,Basic metals (24),Base 2021=100,107.3071494
WPM40C01,Domestic Industrial Price Index (Excl VAT),202109,2021 September,25,"Fabricated metal products, except machinery and equipment (25)",Base 2021=100,101.6780598
WPM40C01,Domestic Industrial Price Index (Excl VAT),202109,2021 September,27,Electrical equipment (27),Base 2021=100,101.2421972
WPM40C01,Domestic Industrial Price Index (Excl VAT),202109,2021 September,29,"Motor vehicles, trailers and semi-trailers (29)",Base 2021=100,99.6323566
WPM40C01,Domestic Industrial Price Index (Excl VAT),202109,2021 September,31,Furniture (31),Base 2021=100,101.0679648
WPM40C01,Domestic Industrial Price Index (Excl VAT),202109,2021 September,V0800,Mining and quarrying (05 to 09),Base 2021=100,100.5187275
WPM40C01,Domestic Industrial Price Index (Excl VAT),202110,2021 October,10,Food products (10),Base 2021=100,100.75772
WPM40C01,Domestic Industrial Price Index (Excl VAT),202110,2021 October,13,Textiles (13),Base 2021=100,100.9964421
WPM40C01,Domestic Industrial Price Index (Excl VAT),202110,2021 October,14,Wearing apparel (14),Base 2021=100,100.0366865
WPM40C01,Domestic Industrial Price Index (Excl VAT),202110,2021 October,16,"Wood and wood products, except furniture (16)",Base 2021=100,105.1628592
WPM40C01,Domestic Industrial Price Index (Excl VAT),202110,2021 October,17,Paper and paper products (17),Base 2021=100,101.845855
WPM40C01,Domestic Industrial Price Index (Excl VAT),202110,2021 October,20,Chemicals and chemical products (20),Base 2021=100,100.7796285
WPM40C01,Domestic Industrial Price Index (Excl VAT),202110,2021 October,22,Rubber and plastic products (22),Base 2021=100,100.7470367
WPM40C01,Domestic Industrial Price Index (Excl VAT),202110,2021 October,23,Other non-metallic mineral products (23),Base 2021=100,102.6268729
WPM40C01,Domestic Industrial Price Index (Excl VAT),202110,2021 October,24,Basic metals (24),Base 2021=100,111.574039
WPM40C01,Domestic Industrial Price Index (Excl VAT),202110,2021 October,25,"Fabricated metal products, except machinery and equipment (25)",Base 2021=100,102.6286284
WPM40C01,Domestic Industrial Price Index (Excl VAT),202110,2021 October,27,Electrical equipment (27),Base 2021=100,101.2421972
WPM40C01,Domestic Industrial Price Index (Excl VAT),202110,2021 October,29,"Motor vehicles, trailers and semi-trailers (29)",Base 2021=100,99.6323566
WPM40C01,Domestic Industrial Price Index (Excl VAT),202110,2021 October,31,Furniture (31),Base 2021=100,101.0680515
WPM40C01,Domestic Industrial Price Index (Excl VAT),202110,2021 October,V0800,Mining and quarrying (05 to 09),Base 2021=100,100.5188843
WPM40C01,Domestic Industrial Price Index (Excl VAT),202111,2021 November,10,Food products (10),Base 2021=100,100.8913314
WPM40C01,Domestic Industrial Price Index (Excl VAT),202111,2021 November,13,Textiles (13),Base 2021=100,100.9305052
WPM40C01,Domestic Industrial Price Index (Excl VAT),202111,2021 November,14,Wearing apparel (14),Base 2021=100,100.0366865
WPM40C01,Domestic Industrial Price Index (Excl VAT),202111,2021 November,16,"Wood and wood products, except furniture (16)",Base 2021=100,105.8190168
WPM40C01,Domestic Industrial Price Index (Excl VAT),202111,2021 November,17,Paper and paper products (17),Base 2021=100,101.9105032
WPM40C01,Domestic Industrial Price Index (Excl VAT),202111,2021 November,20,Chemicals and chemical products (20),Base 2021=100,101.0814003
WPM40C01,Domestic Industrial Price Index (Excl VAT),202111,2021 November,22,Rubber and plastic products (22),Base 2021=100,100.8451854
WPM40C01,Domestic Industrial Price Index (Excl VAT),202111,2021 November,23,Other non-metallic mineral products (23),Base 2021=100,103.3012686
WPM40C01,Domestic Industrial Price Index (Excl VAT),202111,2021 November,24,Basic metals (24),Base 2021=100,112.0689728
WPM40C01,Domestic Industrial Price Index (Excl VAT),202111,2021 November,25,"Fabricated metal products, except machinery and equipment (25)",Base 2021=100,102.7808402
WPM40C01,Domestic Industrial Price Index (Excl VAT),202111,2021 November,27,Electrical equipment (27),Base 2021=100,101.2421972
WPM40C01,Domestic Industrial Price Index (Excl VAT),202111,2021 November,29,"Motor vehicles, trailers and semi-trailers (29)",Base 2021=100,99.6323566
WPM40C01,Domestic Industrial Price Index (Excl VAT),202111,2021 November,31,Furniture (31),Base 2021=100,101.938012
WPM40C01,Domestic Industrial Price Index (Excl VAT),202111,2021 November,V0800,Mining and quarrying (05 to 09),Base 2021=100,100.5196908
WPM40C01,Domestic Industrial Price Index (Excl VAT),202112,2021 December,10,Food products (10),Base 2021=100,100.8577816
WPM40C01,Domestic Industrial Price Index (Excl VAT),202112,2021 December,13,Textiles (13),Base 2021=100,100.5374358
WPM40C01,Domestic Industrial Price Index (Excl VAT),202112,2021 December,14,Wearing apparel (14),Base 2021=100,100.0366865
WPM40C01,Domestic Industrial Price Index (Excl VAT),202112,2021 December,16,"Wood and wood products, except furniture (16)",Base 2021=100,105.1253624
WPM40C01,Domestic Industrial Price Index (Excl VAT),202112,2021 December,17,Paper and paper products (17),Base 2021=100,101.9163884
WPM40C01,Domestic Industrial Price Index (Excl VAT),202112,2021 December,20,Chemicals and chemical products (20),Base 2021=100,125.8759065
WPM40C01,Domestic Industrial Price Index (Excl VAT),202112,2021 December,22,Rubber and plastic products (22),Base 2021=100,101.1368397
WPM40C01,Domestic Industrial Price Index (Excl VAT),202112,2021 December,23,Other non-metallic mineral products (23),Base 2021=100,104.5116525
WPM40C01,Domestic Industrial Price Index (Excl VAT),202112,2021 December,24,Basic metals (24),Base 2021=100,112.0902076
WPM40C01,Domestic Industrial Price Index (Excl VAT),202112,2021 December,25,"Fabricated metal products, except machinery and equipment (25)",Base 2021=100,102.7827359
WPM40C01,Domestic Industrial Price Index (Excl VAT),202112,2021 December,27,Electrical equipment (27),Base 2021=100,101.2421972
